'New Testament';'Old Testament';'Allusion';'Possible Allusion'
'Mar 12:26';'Exo 3:6';'';''
'Mar 12:29-30';'Deu 6:4-5';'';''
'Mar 12:31';'Lev 19:18';'';''
'Mar 12:33';'1Sa 15:22';'*';''
'Mar 12:36';'Psa 110:1';'';''
'Mar 13:5';'Jer 29:8';'*';''
'Mar 13:12';'Mic 7:6';'*';''
'Mar 13:14';'Dan 9:27';'*';''
'Mar 13:14';'Dan 8:13';'*';''
'Mar 13:14';'Dan 11:31';'*';''
'Mar 13:14';'Dan 12:11';'*';''
'Mar 13:24';'Isa 13:9-10';'*';''
'Mar 13:24';'Joe 3:15';'*';''
'Mar 13:31';'Isa 40:8';'*';''
'Mar 14:27';'Zec 13:7';'';''
'Mar 15:28';'Isa 53:12';'';''
'Mar 15:34';'Psa 22:1';'';''
'Luk 1:10';'Lev 16:17';'*';''
'Luk 1:17';'Mal 4:5-6';'';''
'Luk 1:32';'Psa 132:11';'*';''
'Luk 1:33';'Mic 4:7';'*';''
'Luk 1:33';'Dan 4:3';'*';''
'Luk 1:55';'Gen 22:18';'*';''
'Luk 1:55';'Gen 17:19';'*';''
'Luk 1:73';'Gen 22:16';'*';''
'Luk 1:73';'Gen 12:3';'*';''
'Luk 1:78';'Num 24:17';'*';''
'Luk 1:78';'Mal 4:2';'*';''
'Luk 1:79';'Isa 9:2';'*';''
'Luk 2:21-22';'Lev 12:3-4';'*';''
'Luk 2:23';'Exo 13:2';'';''
'Luk 2:24';'Lev 12:8';'';''
'Luk 2:34';'Isa 8:14-15';'*';''
'Luk 3:4-6';'Isa 40:3-5';'';''
'Luk 4:4';'Deu 8:3';'';''
'Luk 4:8';'Deu 6:13';'';''
'Luk 4:8';'Deu 10:20';'';''
'Luk 4:10-11';'Psa 91:11-12';'';''
'Luk 4:12';'Deu 6:16';'';''
'Luk 4:18-19';'Isa 61:1-2';'';''
'Luk 4:25-26';'1Ki 17:1,9';'*';''
'Luk 4:25-26';'1Ki 18:1-2';'*';''
'Luk 4:27';'2Ki 5:14';'*';''
'Luk 5:14';'Lev 14:2';'*';''
'Luk 6:3-4';'1Sa 21:6';'*';''
'Luk 6:24';'Amo 6:1';'*';''
'Luk 7:27';'Mal 3:1';'';''
'Luk 8:10';'Isa 6:9';'';''
'Luk 10:4';'2Ki 4:29';'*';''
'Luk 10:27';'Deu 6:5';'';''
'Luk 10:27';'Lev 19:18';'';''
'Luk 10:28';'Lev 18:5';'*';''
'Luk 11:30';'Jon 1:17';'*';''
'Luk 11:30';'Jon 3:1-10';'*';''
'Luk 11:30';'Jon 4:1-11';'*';''
'Luk 11:31';'2Ki 10:1';'*';''
'Luk 11:51';'Gen 4:8';'*';''
'Luk 11:51';'2Ch 24:21-22';'*';''
'Luk 13:27';'Psa 6:8';'';''
'Luk 13:35';'Psa 118:26';'*';''
'Luk 13:35';'Jer 12:7';'*';''
'Luk 13:35';'Jer 22:5';'*';''
'Luk 14:8';'Pro 25:6';'*';''
'Luk 14:26';'Mic 7:6';'*';''
'Luk 17:3';'Lev 19:17';'*';''
'Luk 17:27';'Gen 7:7';'*';''
'Luk 17:29';'Gen 19:16';'*';''
'Luk 17:32';'Gen 19:26';'*';''
'Luk 18:20';'Exo 20:12';'';''
'Luk 18:20';'Deu 5:17-18';'';''
'Luk 19:46';'Isa 56:7';'';''
'Luk 19:46';'Jer 7:11';'';''
'Luk 20:9';'Isa 5:1';'*';''
'Luk 20:17';'Psa 118:22-23';'';''
'Luk 20:18';'Isa 8:14';'*';''
'Luk 20:18';'Zec 12:3';'*';''
'Luk 20:18';'Dan 2:44';'*';''
'Luk 20:28';'Deu 25:5';'';''
'Luk 20:37';'Exo 3:6';'*';''
'Luk 20:42-43';'Psa 110:1';'';''
'Luk 22:37';'Isa 53:12';'';''
'Luk 23:29';'Isa 54:1';'*';''
'Luk 23:30';'Hos 10:8';'*';''
'Luk 23:46';'Psa 31:5';'';''
'Luk 24:46';'Isa 53:5';'*';''
'Jhn 1:23';'Isa 40:3';'';''
'Jhn 1:51';'Gen 28:12';'*';''
'Jhn 2:17';'Psa 69:9';'';''
'Jhn 3:14';'Num 21:8-9';'*';''
'Jhn 4:37';'Mic 6:15';'*';''
'Jhn 6:31';'Psa 78:24';'';''
'Jhn 6:31';'Exo 16:15';'*';''
'Jhn 6:45';'Isa 54:13';'';''
'Jhn 6:49';'Exo 16:15';'*';''
'Jhn 7:22';'Lev 12:3';'*';''
'Jhn 7:38';'Isa 55:1';'*';''
'Jhn 7:38';'Isa 58:11';'*';''
'Jhn 7:38';'Isa 44:3';'*';''
'Jhn 7:38';'Zec 13:1';'*';''
'Jhn 7:38';'Zec 14:8';'*';''
'Jhn 7:38';'Pro 18:4';'*';''
'Jhn 7:38';'Isa 12:3';'*';''
'Jhn 7:39';'Isa 44:3';'*';''
'Jhn 7:42';'Psa 89:4';'*';''
'Jhn 7:42';'Psa 132:11';'*';''
'Jhn 7:42';'Mic 5:1-2';'*';''
'Jhn 8:5';'Lev 20:10';'*';''
'Jhn 8:5';'Deu 22:21';'*';''
'Jhn 8:17';'Deu 19:15';'';''
'Jhn 9:31';'Psa 82:6';'';''
'Jhn 10:34';'Psa 82:6';'*';''
'Jhn 12:13';'Psa 118:26';'*';''
'Jhn 12:14-15';'Zec 9:9';'';''
'Jhn 12:34';'2Sa 7:13';'*';''
'Jhn 12:34';'Psa 89:30,37';'*';''
'Jhn 12:34';'Psa 110:4';'*';''
'Jhn 12:34';'Isa 9:7';'*';''
'Jhn 12:38';'Isa 53:1';'';''
'Jhn 12:40';'Isa 6:9';'';''
'Jhn 12:49';'Deu 18:18';'*';''
'Jhn 13:18';'Psa 41:9';'';''
'Jhn 15:25';'Psa 69:4';'';''
'Jhn 15:25';'Psa 109:3';'';''
'Jhn 15:25';'Psa 35:19';'';''
'Jhn 17:12';'Psa 41:10';'*';''
'Jhn 17:12';'Psa 109:8,17';'*';''
'Jhn 19:24';'Psa 22:19';'';''
'Jhn 19:28';'Psa 69:21';'*';''
'Jhn 19:36';'Exo 12:46';'';''
'Jhn 19:36';'Psa 34:20';'';''
'Jhn 19:36';'Num 9:12';'*';''
'Jhn 19:37';'Zec 12:10';'';''
'Jhn 20:9';'Psa 16:10';'*';''
'Jhn 20:17';'Psa 22:22';'*';''
'Act 1:20';'Psa 69:25';'';''
'Act 1:20';'Psa 109:8';'';''
'Act 2:17-21';'Joe 2:28-32';'';''
'Act 2:25-28';'Psa 16:8-10';'';''
'Act 2:30';'2Sa 7:12';'*';''
'Act 2:30';'Psa 89:4';'*';''
'Act 2:31';'Psa 16:10';'';''
'Act 2:34';'Psa 110:1';'';''
'Act 3:22-23';'Deu 18:15,18-19';'';''
'Act 3:25';'Gen 22:18';'';''
'Act 3:25';'Gen 12:3';'*';''
'Act 4:11';'Psa 118:22-23';'';''
'Act 4:11';'Isa 28:16';'*';''
'Act 4:25-26';'Psa 2:1-2';'';''
'Act 7:2';'Gen 15:7';'*';''
'Act 7:2';'Neh 9:7';'*';''
'Act 7:3';'Gen 12:1';'';''
'Act 7:4';'Gen 11:31';'*';''
'Act 7:4';'Gen 12:4-5';'*';''
'Act 7:5';'Gen 12:7';'*';''
'Act 7:5';'Gen 13:15';'*';''
'Act 7:6-7';'Gen 15:13-14';'';''
'Act 7:8';'Gen 17:10';'*';''
'Act 7:8';'Gen 21:3-4';'*';''
'Act 7:8';'Gen 25:26';'*';''
'Act 7:8';'Gen 42:13';'*';''
'Act 7:9';'Gen 37:4,11,28';'*';''
'Act 7:9';'Gen 39:1-2,21';'*';''
'Act 7:10';'Gen 41:37,40';'*';''
'Act 7:11';'Gen 41:54';'*';''
'Act 7:12';'Gen 42:2';'*';''
'Act 7:13';'Gen 45:1,9';'*';''
'Act 7:14-15';'Gen 45:1-28';'*';''
'Act 7:16';'Jos 24:32';'*';''
'Act 7:17';'Exo 1:7';'*';''
'Act 7:18';'Exo 1:8';'*';''
'Act 7:19';'Exo 1:10,22';'*';''
'Act 7:20';'Exo 2:2';'*';''
'Act 7:21';'Exo 2:3-10';'*';''
'Act 7:24';'Exo 2:11';'*';''
'Act 7:26';'Exo 2:13-14';'';''
'Act 7:29';'Exo 18:3';'*';''
'Act 7:30';'Exo 3:2';'*';''
'Act 7:32';'Exo 3:6';'';''
'Act 7:33-34';'Exo 3:5,7-8,10';'';''
'Act 7:35';'Exo 2:14';'';''
'Act 7:35';'Exo 3:15-18';'*';''
'Act 7:36';'Exo 7:1-12:51';'*';''
'Act 7:36';'Exo 14:21';'*';''
'Act 7:36';'Exo 12:41';'*';''
'Act 7:36';'Exo 15:23';'*';''
'Act 7:36';'Exo 16:1-36';'*';''
'Act 7:37';'Deu 18:15';'';''
'Act 7:38';'Exo 19:3';'*';''
'Act 7:38';'Exo 20:1-24:18';'*';''
'Act 7:40';'Exo 32:1';'';''
'Act 7:41';'Exo 32:19';'*';''
'Act 7:42-43';'Amo 5:25-26';'*';''
'Act 7:44';'Exo 25:40';'*';''
'Act 7:44';'Exo 26:30';'*';''
'Act 7:45';'Jos 3:14';'*';''
'Act 7:45';'Jos 18:1';'*';''
'Act 7:46';'2Sa 7:2';'*';''
'Act 7:46';'Psa 132:5';'*';''
'Act 7:47';'1Ki 8:1-66';'*';''
'Act 7:49-50';'Isa 66:1-2';'';''
'Act 8:32-33';'Isa 53:7-8';'';''
'Act 10:34';'Deu 10:17';'*';''
'Act 10:34';'Job 34:19';'*';''
'Act 13:17';'Isa 1:2';'*';''
'Act 13:17';'Exo 12:37';'*';''
'Act 13:18';'Deu 1:31';'*';''
'Act 13:18';'Num 14:33';'*';''
'Act 13:18';'Psa 95:10';'*';''
'Act 13:19';'Deu 7:1';'*';''
'Act 13:19';'Jos 14:2';'*';''
'Act 13:20';'Jdg 2:16';'*';''
'Act 13:20';'1Sa 3:20';'*';''
'Act 13:21';'1Sa 8:5';'*';''
'Act 13:21';'1Sa 10:21';'*';''
'Act 13:22';'1Sa 13:14';'';''
'Act 13:22';'Psa 89:20';'';''
'Act 13:22';'1Ch 10:14';'*';''
'Act 13:33';'Psa 2:7';'';''
'Act 13:34';'Isa 55:3';'';''
'Act 13:35';'Psa 16:10';'';''
'Act 13:36';'1Ki 2:10';'*';''
'Act 13:41';'Hab 1:5';'';''
'Act 13:47';'Isa 49:6';'';''
'Act 13:47';'Isa 11:10';'*';''
'Act 15:16-17';'Amo 9:11-12';'*';''
'Act 17:31';'Psa 9:8';'*';''
'Act 17:31';'Psa 96:13';'*';''
'Act 17:31';'Psa 98:9';'*';''
'Act 23:5';'Exo 22:28';'';''
'Act 28:26-27';'Isa 6:9-10';'';''
'Rom 1:17';'Hab 2:4';'';''
'Rom 1:22';'Jer 10:14';'*';''
'Rom 2:6';'Pro 24:12';'*';''
'Rom 2:6';'Psa 62:12';'*';''
'Rom 2:11';'Deu 10:17';'*';''
'Rom 2:11';'Job 34:19';'*';''
'Rom 2:24';'Isa 52:5';'';''
'Rom 2:24';'Eze 36:20';'';''
'Rom 3:4';'Psa 116:11';'';''
'Rom 3:4';'Psa 51:4';'';''
'Rom 3:8';'Jer 17:6';'*';''
'Rom 3:10-12';'Psa 14:1';'';''
'Rom 3:13';'Psa 5:9';'';''
'Rom 3:13';'Psa 140:3';'';''
'Rom 3:14';'Psa 10:7';'';''
'Rom 3:15-18';'Isa 59:7-8';'';''
'Rom 3:18';'Psa 36:1';'';''
'Rom 4:3';'Gen 15:6';'';''
'Rom 4:7-8';'Psa 32:1-2';'';''
'Rom 4:11';'Gen 17:10';'';''
'Rom 4:17';'Gen 17:5';'';''
'Rom 4:18';'Gen 15:5';'';''
'Rom 7:7';'Exo 20:17';'';''
'Rom 7:7';'Deu 5:21';'';''
'Rom 8:36';'Psa 44:22';'';''
'Rom 9:7';'Gen 21:12';'';''
'Rom 9:9';'Gen 18:10';'';''
'Rom 9:12';'Gen 25:23';'';''
'Rom 9:13';'Mal 1:2-3';'';''
'Rom 9:15';'Exo 33:19';'';''
'Rom 9:17';'Exo 9:16';'';''
'Rom 9:20';'Isa 45:9';'*';''
'Rom 9:21';'Jer 18:6';'*';''
'Rom 9:25';'Hos 2:23';'';''
'Rom 9:26';'Hos 1:10';'';''
'Rom 9:27-28';'Isa 10:22-23';'';''
'Rom 9:29';'Isa 1:9';'';''
'Rom 9:33';'Isa 8:14';'';''
'Rom 9:33';'Isa 28:16';'';''
'Rom 10:5';'Lev 18:5';'';''
'Rom 10:5';'Eze 20:11';'';''
'Rom 10:6-7';'Deu 30:12-13';'*';''
'Rom 10:8';'Deu 30:14';'';''
'Rom 10:11';'Isa 28:16';'';''
'Rom 10:13';'Joe 2:32';'';''
'Rom 10:15';'Isa 52:7';'';''
'Rom 10:15';'Nah 1:15';'';''
'Rom 10:16';'Isa 53:1';'';''
'Rom 10:18';'Psa 19:4';'';''
'Rom 10:19';'Deu 32:21';'';''
'Rom 10:20-21';'Isa 65:1-2';'';''
'Rom 11:1';'Psa 94:14';'*';''
'Rom 11:3';'1Ki 19:10,14';'';''
'Rom 11:4';'1Ki 19:18';'';''
'Rom 11:8';'Isa 29:10';'';''
'Rom 11:8';'Isa 6:9';'*';''
'Rom 11:9-10';'Psa 69:22-23';'';''
'Rom 11:26-27';'Isa 59:20-21';'';''
'Rom 11:34';'Isa 40:13';'';''
'Rom 11:35';'Job 41:11';'*';''
'Rom 12:9';'Amo 5:15';'*';''
'Rom 12:16';'Isa 5:21';'*';''
'Rom 12:16';'Pro 3:7';'';''
'Rom 12:19';'Deu 32:35';'';''
'Rom 12:20';'Pro 25:21-22';'';''
'Rom 13:9';'Exo 20:13,17';'';''
'Rom 13:9';'Deu 5:16-21';'';''
'Rom 13:9';'Lev 19:18';'';''
'Rom 14:11';'Isa 45:23';'';''
'Rom 15:3';'Psa 69:9';'';''
'Rom 15:9';'Psa 18:49';'';''
'Rom 15:10';'Deu 32:43';'';''
'Rom 15:11';'Psa 117:1';'';''
'Rom 15:12';'Isa 11:1,10';'';''
'Rom 15:21';'Isa 52:15';'';''
'1Co 1:20';'Isa 44:25';'*';''
'1Co 1:20';'Isa 33:18';'*';''
'1Co 1:31';'Jer 9:24';'';''
'1Co 2:9';'Isa 64:4';'';''
'1Co 2:16';'Isa 40:13';'';''
'1Co 3:8';'Psa 62:12';'*';''
'1Co 3:19';'Job 5:13';'';''
'1Co 3:20';'Psa 94:11';'';''
'1Co 5:13';'Deu 17:9';'*';''
'1Co 5:13';'Deu 19:19';'*';''
'1Co 5:13';'Deu 24:7';'*';''
'1Co 6:16';'Gen 2:24';'';''
'1Co 9:9';'Deu 25:4';'';''
'1Co 10:1';'Exo 13:21';'*';''
'1Co 10:1';'Exo 14:22';'*';''
'1Co 10:1';'Num 9:18';'*';''
'1Co 10:3';'Exo 16:15';'*';''
'1Co 10:3';'Exo 17:6';'*';''
'1Co 10:3';'Num 11:4';'*';''
'1Co 10:3';'Num 20:11';'*';''
'1Co 10:3';'Num 26:64-65';'*';''
'1Co 10:7';'Exo 32:6';'';''
'1Co 10:8,10';'Num 25:1,9';'*';''
'1Co 10:8,10';'Num 21:4';'*';''
'1Co 10:8,10';'Num 14:2,36';'*';''
'1Co 10:8,10';'Psa 106:14,19';'*';''
'1Co 10:20';'Deu 32:17';'';''
'1Co 10:26';'Psa 24:1';'';''
'1Co 14:21';'Isa 28:11-12';'';''
'1Co 14:34';'Gen 3:16';'*';''
'1Co 15:3';'Isa 53:8-9';'*';''
'1Co 15:3';'Psa 22:1-31';'*';''
'1Co 15:3';'Psa 40:1-17';'*';''
'1Co 15:4';'Psa 16:10';'*';''
'1Co 15:25';'Psa 110:1';'';''
'1Co 15:27';'Psa 8:6';'';''
'1Co 15:32';'Isa 22:13';'';''
'1Co 15:45';'Gen 2:7';'';''
'1Co 15:54';'Isa 25:8';'';''
'1Co 15:55';'Hos 13:14';'';''
'2Co 3:13';'Exo 34:33';'*';''
'2Co 4:13';'Psa 116:10';'';''
'2Co 5:17';'Isa 43:18-19';'';''
'2Co 6:2';'Isa 49:8';'';''
'2Co 6:16';'Lev 26:11-12';'';''
'2Co 6:17-18';'Isa 52:11-12';'';''
'2Co 6:17-18';'Jer 31:9';'';''
'2Co 6:17-18';'2Sa 7:14';'';''
'2Co 8:15';'Exo 16:18';'';''
'2Co 9:7';'Pro 22:8';'*';''
'2Co 9:9';'Psa 112:9';'';''
'2Co 10:17';'Jer 9:24';'';''
'2Co 13:1';'Deu 19:15';'';''
'Gal 2:6';'Deu 10:17';'';''
'Gal 2:16';'Psa 143:2';'*';''
'Gal 3:6';'Gen 15:6';'*';''
'Gal 3:8';'Gen 12:3';'';''
'Gal 3:8';'Gen 22:18';'*';''
'Gal 3:10';'Deu 27:26';'';''
'Gal 3:11';'Hab 2:4';'';''
'Gal 3:12';'Lev 18:5';'';''
'Gal 3:13';'Deu 21:23';'';''
'Gal 3:16';'Gen 22:18';'';''
'Gal 3:17';'Exo 12:40';'*';''
'Gal 4:22';'Gen 21:2,9';'*';''
'Gal 4:22';'Gen 16:15';'*';''
'Gal 4:27';'Isa 54:1';'';''
'Gal 4:30';'Gen 21:10';'';''
'Gal 5:14';'Lev 19:18';'';''
'Eph 2:17';'Isa 57:19';'*';''
'Eph 4:8';'Psa 68:18';'';''
'Eph 4:25';'Zec 8:16';'';''
'Eph 4:26';'Psa 4:4';'';''
'Eph 5:31';'Gen 2:24';'';''
'Eph 6:2-3';'Exo 20:12';'';''
'Eph 6:2-3';'Deu 5:16';'';''
'Eph 6:9';'Deu 10:17';'*';''
'Eph 6:9';'Job 34:19';'*';''
'Eph 6:17';'Isa 59:17';'*';''
'Phl 2:10';'Isa 45:23';'*';''
'Phl 4:5';'Psa 119:1-176;141:1-10';'*';''
'Phl 4:5';'Psa 145:18';'*';''
'Col 2:11';'Deu 10:16';'*';''
'Col 3:25';'Deu 10:17';'*';''
'Col 3:25';'Job 34:19';'*';''
'1Th 5:8';'Isa 59:17';'*';''
'1Th 5:15';'Pro 17:13';'*';''
'2Th 2:4';'Dan 11:36';'*';''
'2Th 2:8';'Isa 11:4';'';'†'
'1Ti 2:13';'Gen 1:17';'';'†'
'1Ti 2:13';'Gen 2:7,21-22';'*';''
'1Ti 2:14';'Gen 3:6';'*';''
'1Ti 2:14';'Gen 3:12';'*';''
'1Ti 5:18';'Deu 25:4';'';''
'1Ti 6:7';'Job 1:21';'*';''
'1Ti 6:7';'Ecc 5:14';'*';''
'1Ti 6:7';'Psa 49:18';'';'†'
'2Ti 2:19';'Num 16:5';'*';''
'2Ti 3:8';'Exo 7:11,22';'*';''
'Heb 1:5';'Psa 2:7';'';''
'Heb 1:5';'2Sa 7:14';'';''
'Heb 1:6';'Psa 97:7';'';''
'Heb 1:7';'Psa 104:4';'';''
'Heb 1:8-9';'Psa 45:6-7';'';''
'Heb 1:10-12';'Psa 102:25-27';'';''
'Heb 1:13';'Psa 110:1';'';''
'Heb 2:6-8';'Psa 8:4-6';'';''
'Heb 2:12';'Psa 22:22';'';''
'Heb 2:13';'Isa 8:18';'';''
'Heb 2:13';'Psa 18:2';'';''
'Heb 2:13';'2Sa 22:2';'';''
'Heb 3:2';'Num 12:7';'*';''
'Heb 3:7-11';'Psa 95:7-11';'';''
'Heb 3:15';'Psa 95:7-11';'';''
'Heb 3:17';'Num 14:35-36';'';'†'
'Heb 4:3';'Psa 95:11';'';''
'Heb 4:4';'Gen 2:2-3';'';''
'Heb 4:7';'Psa 95:7-8';'';''
'Heb 5:4';'1Ch 23:13';'';'†'
'Heb 5:5';'Psa 2:7';'';''
'Heb 5:6';'Psa 110:4';'';''
'Heb 6:14';'Gen 22:16-17';'';''
'Heb 7:1';'Gen 14:18';'*';''
'Heb 7:17,21';'Psa 110:4';'';''
'Heb 8:5';'Exo 25:40';'';''
'Heb 8:8-12';'Jer 31:31-34';'';''
'Heb 9:2';'Exo 25:1-40';'*';''
'Heb 9:2';'Exo 26:36';'*';''
'Heb 9:2';'Exo 40:3';'';'†'
'Heb 9:2';'Num 17:10';'*';''
'Heb 9:7';'Exo 30:10';'*';''
'Heb 9:13';'Lev 16:14';'*';''
'Heb 9:14';'Num 14:36';'';'†'
'Heb 9:20';'Exo 24:8';'';''
'Heb 10:5-7';'Psa 40:6-8';'';''
'Heb 10:11';'Exo 29:38';'*';''
'Heb 10:12-13';'Psa 110:1';'*';''
'Heb 10:16-17';'Jer 31:33-34';'';''
'Heb 10:27';'Isa 64:1';'';'†'
'Heb 10:28';'Deu 17:6';'*';''
'Heb 10:30';'Deu 32:35-36';'';''
'Heb 10:37-38';'Hab 2:3-4';'';''
'Heb 11:3';'Gen 1:1';'*';''
'Heb 11:4';'Gen 4:4';'*';''
'Heb 11:5';'Gen 5:24';'*';''
'Heb 11:7';'Gen 6:8,14';'*';''
'Heb 11:8';'Gen 12:1-2';'*';''
'Heb 11:9';'Gen 12:5';'*';''
'Heb 11:9';'Gen 27:11-12,14';'*';''
'Heb 11:11';'Gen 18:1-33';'*';''
'Heb 11:12';'Gen 22:17';'*';''
'Heb 11:13';'Gen 47:9';'';'†'
'Heb 11:13';'Psa 39:13';'';'†'
'Heb 11:13';'Gen 23:4';'*';''
'Heb 11:14';'Hos 14:2';'';'†'
'Heb 11:17';'Gen 22:1';'*';''
'Heb 11:18';'Gen 22:12';'*';''
'Heb 11:20';'Gen 27:28';'*';''
'Heb 11:21';'Gen 47:31';'';''
'Heb 11:21';'Gen 48:15';'*';''
'Heb 11:22';'Gen 50:24';'*';''
'Heb 11:23';'Exo 2:2';'*';''
'Heb 11:25';'Exo 2:11';'*';''
'Heb 11:27';'Exo 2:15';'*';''
'Heb 11:28';'Exo 12:11,18';'*';''
'Heb 11:29';'Exo 14:22';'*';''
'Heb 11:30';'Jos 6:20';'*';''
'Heb 11:31';'Jos 2:1';'*';''
'Heb 11:31';'Jos 6:17,23';'*';''
'Heb 11:32';'Jdg 6:4,11,15';'*';''
'Heb 11:32';'1Sa 7:1-17';'';'†'
'Heb 11:32';'2Sa 2:1-32';'';'†'
'Heb 11:33';'2Sa 8:1-18';'';'†'
